,Unnamed: 0,Tweets,Angry,Fear,Happy,Sad,Surprise
64,64,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
65,65,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
66,66,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
67,67,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
68,68,RT @AngieCoss2002: Pikachu I choose you! Come to my crib so we can watch Netflix or Pokémon 🍑 https://t.co/g5tObvZkpr,0.0,0.0,0.0,0.0,1.0
69,69,"RT @kwinroselyn: Looking for a boyfriend that loves anime, Pokémon &amp; Netflix👅🍑 https://t.co/8UPeUyqu0n",0.0,0.0,1.0,0.0,0.0
70,70,RT @netflix: SCREAM (1996) https://t.co/LV6LZar2JH,0.0,0.0,0.0,0.0,0.0
71,71,"RT @netflix: The @Russo_Brothers created an epic, globe-hopping action-packed cinematic extravaganza coming your way July 22! 

The Gray Ma…",0.0,0.5,0.0,0.0,0.5
72,72,@yuniibun it's a fucking trial not a netflix series bro😭😭,0.0,0.0,1.0,0.0,0.0
73,73,"RT @Chowdrey_: #TheGrayMan 1st Release in Theatres US (limited Screen) on July 15 and will be premiere on @netflix on July 22.

#Dhanush #R…",0.0,0.0,0.0,0.0,1.0
74,74,"RT @MattWagnerComic: GRENDEL--coming this year from Netflix!
#Grendel #Netflix #DarkhorseComics https://t.co/eqWzoObXCv",0.0,0.0,0.0,0.0,1.0
75,75,"RT @NetflixUK: GOSLING 💥 EVANS 💥 DE ARMAS 💥 PAGE
 
THE GRAY MAN, directed by Anthony and Joe Russo, debuts 22 July on Netflix. https://t.co…",0.0,1.0,0.0,0.0,0.0
76,76,@PrakratiKunder @RahJos10 I watched a Netflix series on similar lines High Seas karke. Quite like that one. Hot star I don’t have. Will have to figure out another way to watch this,0.0,0.4,0.0,0.2,0.4
77,77,"Which is why thankfully we have our own supply and know how to live off the land. Being with a prepper has FINALLY paid off (oh the ridicule I've suffered😂) We didn't waste 2 yrs of ""covid"" sitting on our ass binge watching Netflix pretending to wfh. Enjoy the upcoming BS. https://t.co/Hx1ZxAAj1y",0.0,0.5,0.25,0.0,0.25
78,78,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
79,79,@flowertubb I DONT HAVE NETFLIX,0.0,0.0,0.0,0.0,0.0
80,80,"RT @FilmUpdates: Netflix’s ‘HEARTSTOPPER’ is now officially certified fresh on Rotten Tomatoes with a score of 100%

(https://t.co/kqgLxR0J…",1.0,0.0,0.0,0.0,0.0
81,81,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G,0.0,1.0,0.0,0.0,0.0
82,82,Last day to watch the best Batman movie of all time on Netflix is April 30th #TheDarkKnight,0.0,0.0,0.33,0.0,0.67
83,83,@m_rumbie Best thing on Netflix right now 🙌🏾,0.0,0.33,0.0,0.0,0.67
84,84,"RT @Chrissuccess: #TheGrayMan 

Ryan Gosling, Chris Evans, Dhanush, Ana de Armas.

Premiers July 22 on NETFLIX. https://t.co/r9vla34iOI",0.0,0.0,0.0,0.0,0.0
85,85,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
86,86,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
87,87,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ,0.0,0.0,0.0,0.5,0.5
88,88,"RT @EnockVinoth: Get Ready Kollywood Kids They Are Coming 😎

@dhanushkraja @RyanGosling @ChrisEvans @regejean 

July 22nd 💯 @netflix 🔥 http…",0.0,0.0,0.67,0.0,0.33
89,89,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…",0.0,0.0,0.0,0.0,1.0
90,90,RT @jaymo_ke: With all durexpect let's Netflix and chill.😌,0.0,0.0,0.0,1.0,0.0
91,91,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
92,92,"RT @CultureCrave: First look at the Russo Bros' #TheGrayMan for Netflix

The film has a $200M budget and the goal is to launch a James Bond…",0.0,0.0,0.0,0.0,1.0
93,93,"RT @INA99thBrigade: Leave it to GoI to fund a sinking US company with over taxed Indian tax payer money to bail it out.

This is the same H…",0.0,0.5,0.0,0.5,0.0
94,94,RT @IGN: Netflix reportedly plans to offer close to 50 games as part of its subscription by the end of the year. https://t.co/mmvdqf39hq ht…,0.0,0.5,0.5,0.0,0.0
